gutenberg id,title,authors
1043,The Story of Evolution,"frozenset({'McCabe, Joseph'})"
10440,Tutt and Mr. Tutt,"frozenset({'Train, Arthur Cheney'})"
10441,The Green Mouse,"frozenset({'Chambers, Robert W. (Robert William)'})"
10443,The Rayner-Slade Amalgamation,"frozenset({'Fletcher, J. S. (Joseph Smith)'})"
10444,The Peace Negotiations,"frozenset({'Lansing, Robert'})"
10445,American Big Game in Its Haunts,frozenset()
10446,The Green Flag,"frozenset({'Doyle, Arthur Conan'})"
10447,October Vagabonds ,"frozenset({'Le Gallienne, Richard'})"
10448,The Anti-Slavery Harp,frozenset()
10449,Burnham Breaker,"frozenset({'Greene, Homer'})"
10450,"Punch, or the London Charivari, Vol. 153, Aug. 22, 1917",frozenset({'Various'})
10451,"Life Of Johnson, Volume 5","frozenset({'Boswell, James'})"
10452,Peter's Mother,"frozenset({'De La Pasture, Henry, Mrs.'})"
10453,A Practical Physiology,"frozenset({'Blaisdell, Albert F. (Albert Franklin)'})"
10454,Tales for Young and Old,frozenset({'Various'})
10455,A Golden Book of Venice,"frozenset({'Turnbull, Lawrence, Mrs.'})"
10456,"Atlantic Monthly, Volume 2, Issue 11, September, 1858",frozenset({'Various'})
10457,The Lonely Dancer and Other Poems,"frozenset({'Le Gallienne, Richard'})"
10458,Three short works,"frozenset({'Flaubert, Gustave'})"
10459,The Celtic Twilight,"frozenset({'Yeats, W. B. (William Butler)'})"
1045,Venus and Adonis,"frozenset({'Shakespeare, William'})"
10460,When Day is Done,"frozenset({'Guest, Edgar A. (Edgar Albert)'})"
10461,Journals of Australian Explorations,"frozenset({'Gregory, Francis Thomas', 'Gregory, Augustus Charles'})"
10463,The Little House in the Fairy Wood,"frozenset({'Eliot, Ethel Cook'})"
10464,A Child's Anti-Slavery Book,frozenset({'Various'})
10465,The Outdoor Girls of Deepdale ,"frozenset({'Hope, Laura Lee'})"
10466,Little Saint Elizabeth and Other Stories ,"frozenset({'Burnett, Frances Hodgson'})"
10467,"A Select Collection of Old English Plays, Vol. VIII (4th edition)",frozenset()
10468,Aunt Jane's Nieces in Society,"frozenset({'Baum, L. Frank (Lyman Frank)'})"
